00025     Nadi                          078087087087087087513A
00002     Bob Smith                     067067067056056056369C
00001     jyut jyut                     034034034034034034204F
00003     Charlie Lee                   058048076047087079395C
00004     Diana Miller                  071064053049078074389C
00005     Ethan Brown                   096079070065047048405B
00006     Fiona Green                   067049071068050097402B
00007     George White                  058061074052061068374C
00008     Hannah Black                  050056089050057063365C
00009     Ian Gray                      050062058070081074395C
00010     Kevin Adams                   069098053083064071438B
00011     Laura Bennett                 082079067069064082443B
00012     Michael Carter                068099074087080085493A
00013     Natalie Davis                 066047052078067094404B
00014     Oliver Evans                  082077056087045077424B
00015     Paige Foster                  091063065083079080461A
00016     Quentin Harris                098063090095059057462A
00017     Rachel Irwin                  096055073059047055385C
00018     Samuel James                  095069064072073057430B
00019     khin oo thi han               059095054063082082435B
00020     kay zin thant                 059061045080045089379C
00021     Nadi Lin                      070055069088049084415B
00022     Bay Bay                       098057048054064080401B
00023     David Johdan                  098094052098049068459A
00024     Alena                         086093064064063090460A
